1,レクサス,LE
2,トヨタ,TO
3,日産,NI
4,ホンダ,HO
5,マツダ,MA
6,スバル,SB
7,スズキ,SZ
8,三菱,MI
9,ダイハツ,DA
10,いすゞ,IS
11,光岡自動車,MT
12,トミーカイラ,TM
13,日野自動車,HI
14,ＵＤトラックス,UD
15,三菱ふそう,FU
16,メルセデス・ベンツ,ME
17,メルセデスＡＭＧ,AM
18,メルセデス・マイバッハ,MM
19,ＡＭＧ,AG
20,マイバッハ,MY
21,スマート,MC
22,ＢＭＷ,BM
23,ＢＭＷアルピナ,AL
24,アウディ,AD
25,フォルクスワーゲン,VW
26,オペル,OP
27,ポルシェ,PO
28,ルーフ,RU
29,ブラバス,BR
30,バーストナー,BN
31,ミニ,MN
32,キャデラック,CA
33,シボレー,CH
34,ビュイック,BU
35,ポンテアック,PN
36,サターン,ST
37,ハマー,HM
38,ＧＭＣ,GC
39,フォード,FO
40,リンカーン,LI
41,マーキュリー,MK
42,サリーン,SL
43,クライスラー,CR
44,ダッジ,DG
45,プリムス,PR
46,ＡＭＣ,AC
47,AMCジープ,AJ
48,ジープ,JE
49,オールズモビル,OL
50,ウィネベーゴ,WN
51,アバンティ,AV
52,DMC,DC
53,テスラ,TS
54,フィスカー,FS
55,米国レクサス,UL
56,米国インフィニティ,UI
57,米国アキュラ,UA
58,米国トヨタ,UT
59,米国サイオン,SI
60,米国日産,UN
61,米国ホンダ,UH
62,米国マツダ,UM
63,米国スバル,UR
64,米国スズキ,US
65,米国三菱,UB
66,ロールスロイス,RR
67,ベントレー,BE
68,ジャガー,JA
69,デイムラー,DI
70,ランドローバー,LR
71,アストンマーティン,AS
72,ロータス,RO
73,マクラーレン,ML
74,ＴＶＲ,TV
75,ＭＧ,MG
76,ローバー,RV
77,オースチン,AU
78,モーリス,MR
79,ＢＬ,BL
80,モーク,MQ
81,マーコス,MF
82,バンデンプラ,VP
83,ウーズレイ,WO
84,ライレー,RI
85,ケータハム,CT
86,ウエストフィールド,WE
87,モーガン,MO
88,パンサー,PT
89,トライアンフ,TR
90,ヒーレー,HE
91,カーボディーズ,CB
92,ジネッタ,GI
93,ボルボ,VO
94,サーブ,SA
95,プジョー,PE
96,ルノー,RE
97,シトロエン,CI
98,ＤＳオートモビル,DS
99,フィアット,FI
100,アルファロメオ,AF
101,フェラーリ,FE
102,ランボルギーニ,LG
103,マセラティ,MS
104,ランチア,LA
105,ベルトーネ,BT
106,アウトビアンキ,AT
107,アバルト,AB
108,イノチェンティ,IN
109,デトマソ,DE
110,ＫＴＭ,KT
111,ラーダ,LD
112,ヒュンダイ,HD
113,ＧＭマティス,MZ
114,サンヨン,SY
115,ＣＴ＆Ｔ,CU
116,タイトヨタ,TY
117,プロトン,PH
118,ＴＤ,TD
119,バーキン,BI
120,1シリーズ,BM,22
121,2シリーズアクティブツアラー,BM,22
122,3シリーズ,BM,22
123,3シリーズツーリング,BM,22
124,500(チンクエチェント),FI,99
125,5シリーズ,BM,22
126,5シリーズツーリング,BM,22
127,7シリーズ,BM,22
128,86,TO,2
129,911,PO,27
130,A3スポーツバック,AD,24
131,A4,AD,24
132,A4アバント,AD,24
133,AD,NI,3
134,AZ-ワゴン,MA,5
135,Aクラス,ME,16
136,Bクラス,ME,16
137,C-HR,TO,2
138,CLAクラス,ME,16
139,CLAシューティングブレーク,ME,16
140,CLSクラス,ME,16
141,CR-V,HO,4
142,CR-Z,HO,4
143,CT,LE,1
144,CX-3,MA,5
145,CX-5,MA,5
146,Cクラス,ME,16
147,Cクラスワゴン,ME,16
148,Eクラス,ME,16
149,Eクラスワゴン,ME,16
150,GS,LE,1
151,HS,LE,1
152,IS,LE,1
153,Kei,SZ,7
154,LS,LE,1
155,LSハイブリッド,LE,1
156,MPV,MA,5
157,MRワゴン,SZ,7
158,N-BOX,HO,4
159,N-BOX+,HO,4
160,N-BOXスラッシュ,HO,4
161,N-ONE,HO,4
162,N-WGN,HO,4
163,NT100クリッパー,NI,3
164,NV100クリッパー,NI,3
165,NV350キャラバン,NI,3
166,NX,LE,1
167,R2,SB,6
168,RX,LE,1
169,RX-8,MA,5
170,RXハイブリッド,LE,1
171,S660,HO,4
172,SAI,TO,2
173,Sクラス,ME,16
174,TT,AD,24
175,V40,VO,93
176,V60,VO,93
177,V70,VO,93
178,X1,BM,22
179,X3,BM,22
180,X5,BM,22
181,Z4,BM,22
182,bB,TO,2
183,eKカスタム,MI,8
184,eKスペース,MI,8
185,eKスポーツ,MI,8
186,eKワゴン,MI,8
187,up!,VW,25
188,アイ,MI,8
189,アウトランダーPHEV,MI,8
190,インプレッサSTI,SB,6
191,インプレッサXV,SB,6
192,デリカD：2,MI,8
193,デリカD：5,MI,8
194,フェアレディZ,NI,3
195,プリウスPHV,TO,2
196,レガシィB4,SB,6
197,2シリーズアクティブツアラー,BM,22
198,AD,NI,3
199,AZ-ワゴン,MA,5
200,HS,LE,1
201,IS,LE,1
202,LS,LE,1
203,LSハイブリッド,LE,1
204,MPV,MA,5
205,MRワゴン,SZ,7
206,N-BOX,HO,4
207,N-BOX+,HO,4
208,N-BOXスラッシュ,HO,4
209,N-ONE,HO,4
210,N-WGN,HO,4
211,NX,LE,1
212,R2,SB,6
213,RX,LE,1
214,RX-8,MA,5
215,RXハイブリッド,LE,1
216,S660,HO,4
217,eKカスタム,MI,8
218,eKスペース,MI,8
219,eKスポーツ,MI,8
220,eKワゴン,MI,8
221,up!,VW,25
222,アイ,MI,8
