1,レクサス,LE
2,トヨタ,TO
3,日産,NI
4,ホンダ,HO
5,マツダ,MA
6,スバル,SB
7,スズキ,SZ
8,三菱,MI
9,ダイハツ,DA
10,いすゞ,IS
11,光岡自動車,MT
12,トミーカイラ,TM
13,日野自動車,HI
14,ＵＤトラックス,UD
15,メルセデス・ベンツ,ME
16,ＡＭＧ,AG
17,マイバッハ,MY
18,スマート,MC
19,ＢＭＷ,BM
20,ＢＭＷアルピナ,AL
21,アウディ,AD
22,フォルクスワーゲン,VW
23,オペル,OP
24,ポルシェ,PO
25,ルーフ,RU
26,ブラバス,BR
27,バーストナー,BN
28,ミニ,MN
29,キャデラック,CA
30,シボレー,CH
31,ビュイック,BU
32,ポンテアック,PN
33,サターン,ST
34,ハマー,HM
35,ＧＭＣ,GC
36,フォード,FO
37,リンカーン,LI
38,マーキュリー,MK
39,サリーン,SL
40,クライスラー,CR
41,ダッジ,DG
42,プリムス,PR
43,ＡＭＣ,AC
44,AMCジープ,AJ
45,ジープ,JE
46,オールズモビル,OL
47,ウィネベーゴ,WN
48,アバンティ,AV
49,DMC,DC
50,テスラ,TS
51,フィスカー,FS
52,米国レクサス,UL
53,米国インフィニティ,UI
54,米国アキュラ,UA
55,米国トヨタ,UT
56,米国サイオン,SI
57,米国日産,UN
58,米国ホンダ,UH
59,米国マツダ,UM
60,米国スバル,UR
61,米国スズキ,US
62,米国三菱,UB
63,ロールスロイス,RR
64,ベントレー,BE
65,ジャガー,JA
66,デイムラー,DI
67,ランドローバー,LR
68,アストンマーティン,AS
69,ロータス,RO
70,マクラーレン,ML
71,ＴＶＲ,TV
72,ＭＧ,MG
73,ローバー,RV
74,オースチン,AU
75,モーリス,MR
76,ＢＬ,BL
77,モーク,MQ
78,マーコス,MF
79,バンデンプラ,VP
80,ウーズレイ,WO
81,ライレー,RI
82,ケータハム,CT
83,ウエストフィールド,WE
84,モーガン,MO
85,パンサー,PT
86,トライアンフ,TR
87,ヒーレー,HE
88,カーボディーズ,CB
89,ジネッタ,GI
90,ボルボ,VO
91,サーブ,SA
92,プジョー,PE
93,ルノー,RE
94,シトロエン,CI
95,フィアット,FI
96,アルファロメオ,AF
97,フェラーリ,FE
98,ランボルギーニ,LG
99,マセラティ,MS
100,ランチア,LA
101,ベルトーネ,BT
102,アウトビアンキ,AT
103,アバルト,AB
104,イノチェンティ,IN
105,デトマソ,DE
106,ＫＴＭ,KT
107,ラーダ,LD
108,ヒュンダイ,HD
109,ＧＭマティス,MZ
110,サンヨン,SY
111,ＣＴ＆Ｔ,CU
112,タイトヨタ,TY
113,プロトン,PH
114,ＴＤ,TD
115,バーキン,BI
